ID_Venda,Cliente,Produto,Marca,Preco,Quantidade,Data_Venda,Pagamento,Loja
1,Rodrigo,creatina,integralmedica,246.86,2.0,2025-03-10 18:14:51.944741,Não informado,Loja 2
2,Mariana,pre-treino,atlhetica nutrition,-156.11,2.0,2024-10-09 18:14:51.944767,Não informado,Loja 2
3,Rafael,bcaa,midway,158.16,2.0,32/13/2023,Cartao,Filial A
4,Bruna,omega 3,optimum nutrition,64.97,2.0,2024-11-20 18:14:51.944787,Cartão,Loja 1
5,Juliana,hipercalorico,integralmedica,98.49,2.0,2024-12-01 18:14:51.944813,Pix,Loja 1
6,João,glutamina,midway,184.45,2.0,2025-07-31 18:14:51.944841,Não informado,Loja 1
7,Juliana,barra proteica,black skull,80.74,3.0,2025-05-13 18:14:51.944851,Cartão,Não informado
8,Rodrigo,glutamina,midway,147.46,1.0,2024-11-25 18:14:51.944865,Pix,Loja 2
9,Rodrigo,multivitaminico,universal,218.46,3.0,2025-02-27 18:14:51.944876,Pix,Filial A
10,Carlos,whey protein,probiotica,103.15,2.0,2024-12-16 18:14:51.944885,Não informado,Não informado
11,Lucas,omega 3,growth supplements,240.81,2.0,2025-03-29 18:14:51.944893,Não informado,Não informado
12,Rodrigo,hipercalorico,optimum nutrition,238.04,2.0,2024-10-22 18:14:51.944901,Dinheiro,Loja 2
13,Ana,albumina,growth supplements,213.67,2.0,2025-05-11 18:14:51.944909,Cartão,Filial A
14,Diego,glutamina,bodyaction,130.26,2.0,2025-08-15 18:14:51.944916,Não informado,Loja 2
15,Rafael,glutamina,universal,126.54,3.0,2025-04-10 18:14:51.944924,Pix,Loja 2
16,Mariana,albumina,black skull,201.35,1.0,2025-06-20 18:14:51.944933,Não informado,Não informado
17,Rodrigo,glutamina,atlhetica nutrition,241.21,3.0,2024-11-19 18:14:51.944940,Cartão,Filial A
18,João,multivitaminico,integralmedica,216.65,2.0,2025-02-16 18:14:51.944947,Dinheiro,Loja 2
20,Paulo,albumina,atlhetica nutrition,158.07,3.0,2024-10-05 18:14:51.944962,Não informado,Loja 2
